keys,en,ru
EXHIBIT_LAB_SIGN,Restoration lab — do not touch exhibit 9,Реставрационная — экспонат 9 не трогать
EXHIBIT_LEVITATING_COLUMN,Levitating Column,Левитирующая колонна
EXHIBIT_MAIN_ENTRANCE,MAIN ENTRANCE · CLOSING 20:00,ГЛАВНЫЙ ВХОД · ЗАКРЫТИЕ 20:00
EXHIBIT_MASS_PENDULUM,Mass Pendulum,Маятник массы
EXHIBIT_MUSEUM_SIGN,THE FIRST MUSEUM,ПЕРВЫЙ МУЗЕЙ
EXHIBIT_OPEN_HOURS,OPEN 09:00–20:00,ОТКРЫТО 09:00–20:00
EXHIBIT_ORRERY,Orrery,Оррери
EXHIBIT_PLANETARIUM_SIGN,Planetarium — projector switched off,Планетарий — проектор отключён
EXHIBIT_PORTAL_ARCH,Portal Arch,Портальная арка
EXHIBIT_RECEPTION,VISITOR RECEPTION,ПРИЁМ ПОСЕТИТЕЛЕЙ
EXHIBIT_STAR_GLOBE,Star Globe,Звёздный глобус
EXHIBIT_SUNDIAL,Sundial,Солнечные часы
EXHIBIT_SUPERHEAVY_SPHERE,Superheavy Sphere,Сверхтяжёлая сфера
EXHIBIT_TIME_LOOP,Time Loop,Временная петля
EXHIBIT_UNKNOWN,unknown exhibit,неизвестный экспонат
EXHIBIT_WING_A,Wing A — Gravity,Крыло A — Гравитация
EXHIBIT_WING_A_SIGN,Wing A — gravity direction is unstable,Крыло A — направление гравитации нестабильно
EXHIBIT_WING_B,Wing B — Time,Крыло B — Время
EXHIBIT_WING_B_SIGN,"Wing B — acceleration, deceleration, rewind","Крыло B — ускорение, замедление, перемотка"
EXHIBIT_WING_C,Wing C — Space,Крыло C — Пространство
EXHIBIT_WING_C_SIGN,Wing C — spatial curvature · access from night 2,Крыло C — искривление пространства · доступ с ночи 2
EXHIBIT_WING_D,Wing D — Mass,Крыло D — Масса
EXHIBIT_WING_D_SIGN,Wing D — mass is not constant · access from night 3,Крыло D — масса непостоянна · доступ с ночи 3
FAIL_PROGRESS,PROGRESS: night %d · anomalies left: %d,ПРОГРЕСС: ночь %d · осталось аномалий: %d
FAIL_REASON,REASON: %s went out of control,ПРИЧИНА: %s вышла из-под контроля
FAIL_RETRY,ENTER — retry night,ENTER — повторить ночь
FAIL_TIP,TIP: %s,СОВЕТ: %s
FAIL_TIP_DEFAULT,Check the terminal readout against the device label before you touch the rift.,Сверьте показания терминала с маркировкой прибора до контакта с разломом.
FAIL_TITLE,SHIFT INTERRUPTED,СМЕНА ПРЕРВАНА
HUD_ANOMALY_CLEARED,ANOMALY CLEARED. THE CORE IS STILL UNSTABLE,АНОМАЛИЯ УСТРАНЕНА. ЯДРО ВСЁ ЕЩЁ НЕСТАБИЛЬНО
HUD_CONFIRM_SOURCE_FIRST,Confirm the source via %s first — %.1f sec. to go.,Сначала подтвердите источник через %s — ещё %.1f сек.
HUD_CONTAINMENT_BREACHED,CONTAINMENT BREACHED,СДЕРЖИВАНИЕ НАРУШЕНО
HUD_CRITICAL_DOSE,CRITICAL RADIATION DOSE,КРИТИЧЕСКАЯ ДОЗА ОБЛУЧЕНИЯ
HUD_CURATOR_CAUGHT,THE CURATOR CAUGHT YOU,КУРАТОР ДОГНАЛ ВАС
HUD_EFFECT_ASCENT,THE FOG IS RISING,ТУМАН ПОДНИМАЕТСЯ
HUD_EFFECT_DOSE,DOSE: %.0f%%,ДОЗА: %.0f%%
HUD_EFFECT_ECHO,RESONANCE RISING,РЕЗОНАНС НАРАСТАЕТ
HUD_EFFECT_GLASS,SUPPORT GEOMETRY UNSTABLE,ОПОРНАЯ ГЕОМЕТРИЯ НЕСТАБИЛЬНА
HUD_EFFECT_GRAVITY,GRAVITY: %.0f%%,ГРАВИТАЦИЯ: %.0f%%
HUD_EFFECT_MIRROR,REFLECTIONS LIE,ОТРАЖЕНИЯ ЛГУТ
HUD_EFFECT_SCRAP,VALUABLES DISPLACED,ЦЕННОСТИ СМЕЩЕНЫ
HUD_EFFECT_TEMPORAL,TEMPORAL DRIFT: %.0f%%,ТЕМПОРАЛЬНЫЙ СДВИГ: %.0f%%
HUD_EFFECT_VOID,LIGHT CIRCUIT UNSTABLE,СВЕТОВОЙ КОНТУР НЕСТАБИЛЕН
HUD_EFFECT_YELLOW,LIMINAL BACKGROUND: LAMP HUM,ЛИМИНАЛЬНЫЙ ФОН: ГУЛ ЛАМП
HUD_ENTER_POCKET,ENTERING POCKET DIMENSION,ПЕРЕХОД В КАРМАННОЕ ИЗМЕРЕНИЕ
HUD_EVIDENCE_ASCENT,THE FLOOR IN THIS POST READS LEVEL AND THE CART ROLLS UPHILL,ПОЛ В ЭТОМ ПОСТУ РОВНЫЙ А ТЕЛЕЖКА КАТИТСЯ В ГОРУ
HUD_EVIDENCE_CONFIRMED,SIGN RECORDED. THE DEVICE IS STILL YOUR CALL.,ПРИЗНАК ЗАФИКСИРОВАН. ПРИБОР ПО-ПРЕЖНЕМУ ЗА ВАМИ.
HUD_EVIDENCE_ECHO,THE SOUND ON THIS FEED ARRIVES A SECOND LATE,ЗВУК НА ЭТОМ ФИДЕ ПРИХОДИТ НА СЕКУНДУ ПОЗЖЕ
HUD_EVIDENCE_GLASS,A WALL IN THIS POST GOES TRANSPARENT AND SOLID AGAIN,СТЕНА В ЭТОМ ПОСТУ СТАНОВИТСЯ ПРОЗРАЧНОЙ И СНОВА ПЛОТНОЙ
HUD_EVIDENCE_GRAVITY,THE DUST IN THIS POST HANGS AT WAIST HEIGHT,ПЫЛЬ В ЭТОМ ПОСТУ ВИСИТ НА ВЫСОТЕ ПОЯСА
HUD_EVIDENCE_MIRROR,THE REFLECTION IN THIS POST MOVES A MOMENT LATE,ОТРАЖЕНИЕ В ЭТОМ ПОСТУ ДВИЖЕТСЯ С ЗАПОЗДАНИЕМ
HUD_EVIDENCE_RADIATION,THE COUNTER ON THIS POST TICKS WITH NO SOURCE IN FRAME,СЧЁТЧИК В ЭТОМ ПОСТУ ЩЁЛКАЕТ БЕЗ ИСТОЧНИКА В КАДРЕ
HUD_EVIDENCE_SCRAP,SMALL EXHIBITS IN THIS POST HAVE CREPT TO ONE WALL,МЕЛКИЕ ЭКСПОНАТЫ В ЭТОМ ПОСТУ СПОЛЗЛИ К ОДНОЙ СТЕНЕ
HUD_EVIDENCE_SEEK,SIGNS UNCONFIRMED — WATCH CAM %02d,ПРИЗНАКИ НЕ ПОДТВЕРЖДЕНЫ — СМОТРИТЕ КАМЕРУ %02d
HUD_EVIDENCE_TEMPORAL,THE CLOCK IN THIS POST IS RUNNING BACKWARDS,ЧАСЫ В ЭТОМ ПОСТУ ИДУТ НАЗАД
HUD_EVIDENCE_VOID,THE SHADOWS IN THIS POST FALL AWAY FROM THE LAMPS,ТЕНИ В ЭТОМ ПОСТУ ПАДАЮТ В СТОРОНУ ОТ ЛАМП
HUD_EVIDENCE_YELLOW,THE SAME DOOR NUMBER APPEARS TWICE IN THIS POST,ОДИН И ТОТ ЖЕ НОМЕР ДВЕРИ ВИДЕН В ЭТОМ ПОСТУ ДВАЖДЫ
HUD_FALL_RESPAWN,You slipped over the edge — back on solid ground.,Вы сорвались с края — возврат на твёрдую землю.
HUD_FINISH_TRIAL_FIRST,Finish the current dimension first.,Сначала завершите текущее измерение.
HUD_HIDE_ENTER,The door is shut from inside,Дверь закрыта изнутри
HUD_HIDE_FOUND,The door is pulled open,Дверь распахнули снаружи
HUD_HIDE_LEAVE,You climb back out,Ты выбираешься наружу
HUD_HINT_APPLY,E - apply %s to the anomaly,E - применить %s к аномалии
HUD_HINT_CARRYING,Carrying: %s (G - drop),В руках: %s (G - бросить)
HUD_HINT_TAKE,E - take: %s,E - взять: %s
HUD_HINT_TERMINAL,E - read the terminal,E - показания терминала
HUD_INTRO_CHECK_HALLS,Check the halls before dark,Проверьте залы до наступления темноты
HUD_INTRO_FIRST_NIGHT,First night on duty,Первая ночь дежурства
HUD_INTRO_MUSEUM,THE FIRST MUSEUM,ПЕРВЫЙ МУЗЕЙ
HUD_INTRO_SKIP,SPACE / ENTER / A — skip,ПРОБЕЛ / ENTER / A — пропустить
HUD_MEMORY_REEL_BONUS,MEMORY REEL: +45 SECONDS ON THE TIMER,КАТУШКА ПАМЯТИ: +45 СЕКУНД К ТАЙМЕРУ
HUD_NIGHT,NIGHT %d,НОЧЬ %d
HUD_NIGHT_COMPLETE,NIGHT %d COMPLETE,НОЧЬ %d ПРОЙДЕНА
HUD_NIGHT_WING_UNLOCKED,NIGHT %d. Wing unlocked: %s,НОЧЬ %d. Открыто крыло: %s
HUD_PROTO_DIAGNOSE,DEVICE NOT ASSIGNED — OPERATOR'S CALL,ПРИБОР НЕ НАЗНАЧЕН — РЕШАЕТ ОПЕРАТОР
HUD_PROTO_FOOTER,E / ENTER — close · The screen closes on its own,E / ENTER — закрыть · Экран закроется сам
HUD_PROTO_HEADER,THE FIRST MUSEUM · NIGHT CONTAINMENT SERVICE,ПЕРВЫЙ МУЗЕЙ · СЛУЖБА НОЧНОГО СДЕРЖИВАНИЯ
HUD_PROTO_SIGNS_HINT,Match the signs to what a device does. Storage labels every one of them.,"Сопоставьте признаки с тем, что делает прибор. На складе подписан каждый."
HUD_PROTO_STATUS,NIGHT: %d\nINCIDENT ZONE: %s\nPICKUP POINT: Equipment Storage\nSTATUS: awaiting pickup,НОЧЬ: %d\nЗОНА АВАРИИ: %s\nМЕСТО ВЫДАЧИ: Склад оборудования\nСТАТУС: ожидает выдачи
HUD_PROTO_TAKE,TAKE FROM EQUIPMENT STORAGE:,ВОЗЬМИТЕ СО СКЛАДА ОБОРУДОВАНИЯ:
HUD_RIFT_RETURN_SHIFT,SECTION DARK — THE BUILDING CHANGED WITHOUT YOU,СЕКЦИЯ ОБЕСТОЧЕНА — ЗДАНИЕ ИЗМЕНИЛОСЬ БЕЗ ВАС
HUD_SCAN_PROGRESS,SCANNING: %.0f%%,СКАНИРОВАНИЕ: %.0f%%
HUD_SOURCE_CONFIRMED,SOURCE CONFIRMED. PROTOCOL UNLOCKED.,ИСТОЧНИК ПОДТВЕРЖДЁН. ПРОТОКОЛ РАЗБЛОКИРОВАН.
HUD_STAMINA,STAMINA,ВЫНОСЛИВОСТЬ
HUD_STAMINA_EXHAUSTED,EXHAUSTED — CATCH YOUR BREATH,ИСТОЩЕНИЕ — ПЕРЕВЕДИТЕ ДЫХАНИЕ
HUD_TASK_CARRYING,Carrying: %s,В руках: %s
HUD_TERMINAL_BREACH,!! CONTAINMENT BREACH !!\n%s\n%s,!! НАРУШЕНИЕ СДЕРЖИВАНИЯ !!\n%s\n%s
HUD_TERMINAL_IDLE,SYSTEM NOMINAL\nALL EXHIBITS STABLE,СИСТЕМА В НОРМЕ\nВСЕ ЭКСПОНАТЫ СТАБИЛЬНЫ
HUD_TERMINAL_RESTORED,"SYSTEM: CONTAINMENT RESTORED\nGOOD NIGHT, OBSERVER","СИСТЕМА: СДЕРЖИВАНИЕ ВОССТАНОВЛЕНО\nДОБРОЙ НОЧИ, НАБЛЮДАТЕЛЬ"
HUD_TOOL_LANTERN,NULL LANTERN: the Curator is slowed near you,НУЛЬ-ФОНАРЬ: Куратор замедлен рядом с вами
HUD_TOOL_LENS,LENS: rift %d m away,ЛИНЗА: разрыв в %d м
HUD_TOOL_PRISM,PRISM: anomaly influence weakened,ПРИЗМА: влияние аномалии ослаблено
HUD_TOOL_TAKEN,Device taken: %s,Взят прибор: %s
HUD_TOOL_THROWN,Device thrown,Прибор брошен
HUD_TOOL_THREAD,RETURN THREAD: %d m to the rift,НИТЬ ВОЗВРАТА: %d м до разрыва
HUD_WATCH_BEARING_AHEAD,AHEAD OF YOU,ПРЯМО ПЕРЕД ВАМИ
HUD_WATCH_BEARING_BEHIND,BEHIND YOU,У ВАС ЗА СПИНОЙ
HUD_WATCH_BEARING_LEFT,TO YOUR LEFT,СЛЕВА ОТ ВАС
HUD_WATCH_BEARING_RIGHT,TO YOUR RIGHT,СПРАВА ОТ ВАС
HUD_WATCH_CRITICAL,IT IS IN THE ROOM — LOWER THE TABLET (TAB),ОН УЖЕ РЯДОМ — ОПУСТИТЕ ПЛАНШЕТ (TAB)
HUD_WATCH_MOTION,"!! MOTION SENSOR — %d m, %s","!! ДАТЧИК ДВИЖЕНИЯ — %d м, %s"
HUD_WIN,SHIFT OVER\nAll three nights are done. The museum sleeps again.,СМЕНА ОКОНЧЕНА\nВсе три ночи пройдены. Музей снова спит.
HUD_WRONG_TOOL,The device has no effect. Check the terminal readout.,Прибор не действует. Проверьте показания терминала.
HUD_WRONG_TOOL_COST,THE EXHIBIT REACTS: %d SECONDS LOST AND SOMETHING HEARD IT.,ЭКСПОНАТ ОТВЕЧАЕТ: ПОТЕРЯНО %d С — И ЭТО УСЛЫШАЛИ.
MENU_BACK,Back,Назад
MENU_CONTINUE_NIGHT,Continue — Night %d,Продолжить — Ночь %d
MENU_FB_COMMENT,Feedback / Bug description:,Отзыв / Описание бага:
MENU_FB_COMMENT_HINT,Describe your impressions or the bug you found...,Опишите ваши впечатления или найденную ошибку...
MENU_FB_ERR_COMMENT,Enter your feedback text!,Введите текст отзыва!
MENU_FB_ERR_NETWORK,Network error while sending the request,Сетевая ошибка при отправке запроса
MENU_FB_ERR_NO_URL,Webhook URL is not configured. Set it in settings.,URL вебхука не настроен. Укажите его в настройках.
MENU_FB_ERR_REQUEST,Failed to create HTTP request: %s,Ошибка создания HTTP-запроса: %s
MENU_FB_ERR_SERVER,Server error (code %d): %s,Ошибка сервера (код %d): %s
MENU_FB_ERR_URL,Please enter the webhook URL!,"Пожалуйста, введите URL вебхука!"
MENU_FB_NAME,Your name:,Ваше имя:
MENU_FB_NAME_HINT,Player,Игрок
MENU_FB_SENDING,Sending...,Отправка...
MENU_FB_SENT,Feedback sent successfully!,Отзыв успешно отправлен!
MENU_FB_SUBMIT,Send,Отправить
MENU_FB_URL,Notion Worker webhook URL:,URL вебхука Notion Worker:
MENU_FEEDBACK,Feedback (Notion),Обратная связь (Notion)
MENU_MAIN_MENU,Main menu,Главное меню
MENU_QUIT,Quit,Выход
MENU_RESET_PROGRESS,Reset progress,Сбросить прогресс
MENU_RESUME,Resume,Продолжить
MENU_SETTINGS,Settings,Настройки
MENU_START,Start shift,Начать смену
MENU_SUBTITLE_FMT,%s · RELEASE 1.0 · PROLOGUE AND 10 DIMENSIONS,%s · RELEASE 1.0 · ПРОЛОГ И 10 ИЗМЕРЕНИЙ
MENU_SUBTITLE_SHIFT,night shift,ночная смена
MENU_TITLE,THE FIRST MUSEUM,ПЕРВЫЙ МУЗЕЙ
MENU_TUTORIAL,Tutorial,Обучение
OBJ_BLACKOUT,The power is out. Something is happening in the atrium...,Питание пропало. Что-то происходит в атриуме...
OBJ_CCTV_CONFIRM,%s: confirm the source via %s in the security office (%.1f sec.).,%s: подтвердите источник через %s в офисе охраны (%.1f сек.).
OBJ_CORE_UNSTABLE,"The anomaly is contained, but the core is unstable. The next surge is close...","Аномалия устранена, но ядро нестабильно. Следующий выброс близко..."
OBJ_INCIDENT,"INCIDENT: %s. Find the source, finish the protocol and apply the stabilizer at the exhibit. Remaining: %d","АВАРИЯ: %s. Найдите источник, завершите протокол и примените стабилизатор у экспоната. Осталось: %d"
OBJ_INCIDENT_EXHIBIT,Anomaly at the %s exhibit in zone %s. Find a stabilizer and apply it to the rift.,Аномалия у экспоната «%s» в зоне «%s». Найдите стабилизатор и примените его к разрыву.
OBJ_NIGHT_DONE,Night %d complete. ENTER - next night.,Ночь %d пройдена. ENTER - следующая ночь.
OBJ_NIGHT_INTRO,Night %d. Look around the museum. The security office is in the west wing.,Ночь %d. Осмотрите музей. Офис охраны — в западном крыле.
OBJ_NIGHT_RESTART,Night %d. The core is unstable again...,Ночь %d. Ядро снова нестабильно...
OBJ_TRIAL,Clear the pocket dimension and forge the stabilization key.,Пройдите карманное измерение и создайте ключ стабилизации.
PROP_CRATE_DO_NOT_OPEN,DO NOT OPEN,НЕ ВСКРЫВАТЬ
PROP_EXHIBIT_9_TAG,EXHIBIT 9,ЭКСПОНАТ 9
PROP_STORAGE_BAY_CONSUMABLES,CONSUMABLES,РАСХОДНЫЕ МАТЕРИАЛЫ
PROP_STORAGE_BAY_SPARES,SPARE PARTS,ЗАПЧАСТИ
PROP_HIDE_LOCKER,STAFF LOCKER,ШКАФ ПЕРСОНАЛА
PROP_STORAGE_BAY_TOOLS,HAND TOOLS,РУЧНОЙ ИНСТРУМЕНТ
PROP_STORAGE_HAZARD_PLACARD,DO NOT OPEN,НЕ ВСКРЫВАТЬ
PROP_STORAGE_SIGN_CHARGING,CHARGING STATIONS,ЗАРЯДНЫЕ СТАНЦИИ
PROP_STORAGE_SIGN_DEVICES,CONTAINMENT DEVICES,УСТРОЙСТВА СДЕРЖИВАНИЯ
PROP_STORAGE_TOOLBOARD_NOTICE,NOT RETURNED,НЕ СДАНО
SET_ACCESS_DESC,Reduce visual load and improve readability,Снизьте визуальную нагрузку и улучшите читаемость
SET_AMBIENCE_VOLUME,Ambience volume,Громкость окружения
SET_AMBIENCE_VOLUME_DESC,Room tone and the hum of anomalies,Фон залов и гул аномалий
SET_AUDIO_DESC,Tune the museum's atmosphere and volume,Настройте атмосферу и громкость музея
SET_AUTOSAVE_HINT,Changes are saved\nautomatically,Изменения сохраняются\nавтоматически
SET_BIND_BELT,Belt slot,Слот пояса
SET_BIND_BELT_CYCLE,Cycle belt,Перебор пояса
SET_BIND_CROUCH,Crouch,Присесть
SET_BIND_DROP,Drop device,Бросить прибор
SET_BIND_THROW,Throw device,Метнуть прибор
SET_BIND_INTERACT,Interact,Взаимодействие
SET_BIND_MOVE,Movement,Движение
SET_BIND_PAUSE,Pause,Пауза
SET_BIND_TABLET,Tablet,Планшет
SET_CARD_AUDIO_BODY,"The alarm, the hum of anomalies and footsteps use spatial positioning. Headphones are recommended for the best effect.","Тревога, гул аномалий и шаги используют пространственное позиционирование. Для лучшего эффекта рекомендуется использовать наушники."
SET_CARD_AUDIO_TITLE,DYNAMIC SOUND,ДИНАМИЧЕСКИЙ ЗВУК
SET_CARD_GRAPHICS_BODY,High quality enables volumetric fog. On integrated graphics use the medium profile.,Высокое качество включает объёмный туман. На встроенной графике используйте средний профиль.
SET_CARD_GRAPHICS_TITLE,RECOMMENDATION,РЕКОМЕНДАЦИЯ
SET_CONTROLS_DESC,"Mouse, keyboard and gamepad","Мышь, клавиатура и геймпад"
SET_EFFECT_QUALITY,Effect quality,Качество эффектов
SET_EFFECT_QUALITY_DESC,"Fog, glow and contact shadows","Туман, свечение и контактные тени"
SET_EYEBROW,MUSEUM SYSTEM  /  CONFIGURATION,СИСТЕМА МУЗЕЯ  /  КОНФИГУРАЦИЯ
SET_FULLSCREEN,Fullscreen mode,Полноэкранный режим
SET_FULLSCREEN_DESC,Use the entire available screen,Использовать весь доступный экран
SET_GRAPHICS_DESC,Image quality and display mode,Качество изображения и режим отображения
SET_HIGH_CONTRAST_DESC,Improves legibility of the interface and targets,Усиливает различимость интерфейса и целей
SET_LANGUAGE_DESC,Interface and subtitle language,Язык интерфейса и субтитров
SET_LARGE_UI_DESC,Increases the scale of text and elements,Увеличивает масштаб текста и элементов
SET_MASTER_VOLUME,Master volume,Общая громкость
SET_MASTER_VOLUME_DESC,"Music, ambience and sound effects","Музыка, окружение и звуковые эффекты"
SET_MOUSE_SENS,Mouse sensitivity,Чувствительность мыши
SET_MOUSE_SENS_DESC,First-person look speed,Скорость обзора от первого лица
SET_MUSIC_VOLUME,Music volume,Громкость музыки
SET_MUSIC_VOLUME_DESC,Soundtrack only,Только музыкальное сопровождение
SET_OFF,OFF,ВЫКЛ
SET_ON,ON,ВКЛ
SET_PAD_LEFT_STICK,Left stick,Левый стик
SET_QUALITY_HIGH,High,Высокое
SET_QUALITY_LOW,Low,Низкое
SET_QUALITY_MEDIUM,Medium,Среднее
SET_REDUCED_FLASHES_DESC,Softens the emergency lighting and the void effect,Смягчает аварийный свет и эффект пустоты
SET_RESET_DEFAULTS,Restore default settings,Восстановить настройки по умолчанию
SET_RESOLUTION,Window resolution,Разрешение окна
SET_RESOLUTION_DESC,Size of the test and windowed mode,Размер тестового и оконного режима
SET_SFX_VOLUME,Effects volume,Громкость эффектов
SET_SFX_VOLUME_DESC,"Footsteps, alarms and the Curator","Шаги, тревога и Куратор"
SET_TAB_ACCESS,Accessibility,Доступность
SET_TAB_AUDIO,Audio,Аудио
SET_TAB_CONTROLS,Controls,Управление
SET_TAB_GRAPHICS,Graphics,Графика
SET_VSYNC,Vertical sync,Вертикальная синхронизация
SET_VSYNC_DESC,Eliminates screen tearing,Устраняет разрывы изображения
SIGN_CLOCK_BACKWARDS,CLOCKS RUN BACKWARDS,ЧАСЫ ИДУТ НАЗАД
SIGN_COLD_DRAFT,COLD DRAUGHT AGAINST THE VENTS,ХОЛОД ИДЁТ ПРОТИВ ВЕНТИЛЯЦИИ
SIGN_DOOR_REPEATS,ONE DOOR NUMBER TWICE,НОМЕР ДВЕРИ ПОВТОРЯЕТСЯ
SIGN_DUST_HANGS,DUST HANGS IN THE AIR,ПЫЛЬ ВИСИТ В ВОЗДУХЕ
